City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tefe,BR,86.0,broken clouds,-3.3542,-64.7114,Aracati Hotel
1,Faanui,PF,81.99,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
2,Georgetown,MY,82.4,few clouds,5.4112,100.3354,Cititel Penang
4,Vaini,TO,75.2,light rain,-21.2,-175.2,Keleti Beach Resort
6,Cayenne,GF,87.8,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
7,Rikitea,PF,80.33,moderate rain,-23.1203,-134.9692,Pension Maro'i
11,Carnarvon,AU,78.8,clear sky,-24.8667,113.6333,Hospitality Carnarvon
15,Kununurra,AU,75.2,moderate rain,-15.7667,128.7333,Hotel Kununurra
21,Busselton,AU,70.66,overcast clouds,-33.65,115.3333,Observatory Guest House
23,Arraial Do Cabo,BR,89.6,few clouds,-22.9661,-42.0278,Pousada Porto Praia
26,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
37,Cabo San Lucas,MX,75.99,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
44,Castro,BR,73.53,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
45,Coahuayana,MX,78.8,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
47,Hithadhoo,MV,82.76,overcast clouds,-0.6,73.0833,Scoop Guest House
49,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
50,Ughelli,NG,80.85,overcast clouds,5.4899,6.0074,Prestige Hotel
53,Quatre Cocos,MU,78.8,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
63,Paita,PE,87.8,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
65,Mogadishu,SO,80.85,clear sky,2.0371,45.3438,Olympic Hotel
72,Najran,SA,84.2,clear sky,17.4924,44.1277,محمد هادي ال فطيح
73,Mazagao,BR,86.0,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
77,Tual,ID,83.66,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
78,Saint-Joseph,RE,77.0,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
79,Sur,OM,80.06,clear sky,22.5667,59.5289,Sur Plaza Hotel
81,Santa Maria,BR,80.6,few clouds,-29.6842,-53.8069,Hotel Morotin
83,Grand Gaube,MU,77.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
87,Port Hedland,AU,73.4,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
89,Cockburn Town,TC,80.6,few clouds,21.4612,-71.1419,Osprey Beach Hotel
90,Praia,CV,78.8,clear sky,14.9215,-23.5087,LT Aparthotel
91,Butaritari,KI,80.98,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
93,Chincha Alta,PE,75.99,clear sky,-13.4099,-76.1323,Buena Vista Casa Hotel
94,Porto Uniao,BR,77.05,overcast clouds,-26.2381,-51.0783,Hotel Flórida
96,Axim,GH,82.72,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
99,Kavaratti,IN,83.35,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
103,Victoria,HK,75.0,clear sky,22.2855,114.1577,Mini Hotel Central
106,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
118,Tabou,CI,82.42,light rain,4.423,-7.3528,hotêl doufoulougou
119,Bengkulu,ID,76.86,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
120,Isangel,VU,75.76,moderate rain,-19.55,169.2667,Volcano Sea View Tree House
124,Chuy,UY,71.6,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
127,Poli,TZ,82.4,scattered clouds,-3.3333,36.8,Urafiki House
128,Alyangula,AU,81.75,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
135,Atuona,PF,80.1,scattered clouds,-9.8,-139.0333,Villa Enata
138,San Andres,CO,84.2,few clouds,12.5847,-81.7006,Hotel Arena Blanca
140,Atar,MR,93.02,clear sky,20.5169,-13.0499,Oumou Elghoura
144,Urucui,BR,83.73,heavy intensity rain,-7.2294,-44.5561,Hotel Premium Piauí
146,Mitsamiouli,KM,83.43,broken clouds,-11.3847,43.2844,Foyer ADM
149,Chicama,PE,73.4,overcast clouds,-7.8447,-79.1469,Chicama Me Gusta
153,Hualmay,PE,76.96,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
157,Meulaboh,ID,77.94,overcast clouds,4.1363,96.1285,Kost Pria
161,Narasannapeta,IN,75.09,scattered clouds,18.4167,84.05,G.lingaraju home
162,Itarema,BR,85.91,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
163,Labuhan,ID,80.13,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
168,Bajos De Haina,DO,84.2,scattered clouds,18.4154,-70.0332,Familia García Santana
169,Kavieng,PG,82.33,light rain,-2.5744,150.7967,Nusa Island Retreat
170,Pathein,MM,74.82,broken clouds,16.7833,94.7333,New Pammawaddy Hotel
172,Adeje,ES,71.01,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
175,Alofi,NU,75.2,light rain,-19.0595,-169.9187,Taloa Heights
177,Isla Mujeres,MX,82.4,broken clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
179,Lat Yao,TH,84.0,clear sky,15.751,99.7893,ห้างหุ้นส่วนจำกัด ลาดยาวการเกษตร
180,Japura,ID,75.04,broken clouds,-0.3167,102.35,Rumah mbah Jamah
181,Gharghoda,IN,82.0,broken clouds,22.1667,83.35,Yadav Hotel
186,Port Augusta,AU,71.6,light rain,-32.5,137.7667,Majestic Oasis Apartments
188,Kalmunai,LK,76.17,overcast clouds,7.4167,81.8167,VS Villa
189,Capinzal,BR,87.3,clear sky,-27.3436,-51.6119,Hotel Baiolim
190,Nicoya,CR,87.8,scattered clouds,10.1483,-85.45200000000001,Guayacan Real
191,La Macarena,CO,86.76,overcast clouds,2.1837,-73.7849,Hotel Punto Verde
195,Dingle,PH,77.16,few clouds,10.9995,122.6711,SEGAYA PROPERTY
196,Sinnamary,GF,81.45,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
197,Salalah,OM,80.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
198,Waddan,LY,80.83,clear sky,29.1614,16.139,محل الشريف محمد العايب
206,Gizo,SB,82.15,broken clouds,-8.103,156.8419,Imagination Island
208,Avarua,CK,77.0,overcast clouds,-21.2078,-159.775,Paradise Inn
211,Brandon,US,71.01,scattered clouds,27.9378,-82.2859,Brandon Motor Lodge
213,Cidreira,BR,75.72,broken clouds,-30.1811,-50.2056,Hotel Castelo
217,Phan Thiet,VN,75.67,broken clouds,10.9333,108.1,Hotel Saigon-PT
218,Mount Isa,AU,82.4,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
219,Matara,LK,77.61,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
221,Tabuk,PH,72.93,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
222,Lorengau,PG,80.65,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
225,Pombas,CV,77.0,scattered clouds,17.1503,-25.0201,POUSADA O RECANTO
226,Hermosillo,MX,75.0,clear sky,29.0667,-110.9667,ibis Hermosillo
227,Macaubas,BR,88.86,broken clouds,-13.0194,-42.6986,Macaúbas Palace Hotel
228,Pisco,PE,75.99,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
230,Muli,MV,83.52,broken clouds,2.9167,73.5667,Medhufushi Island Resort
231,Bambous Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
247,Panaba,MX,78.82,broken clouds,21.2833,-88.2667,Posada rosario
250,Namibe,AO,74.26,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
251,Pochutla,MX,90.0,clear sky,15.7432,-96.4661,Hotel Posada San Jose
252,Omboue,GA,77.7,overcast clouds,-1.5746,9.2618,Hotel Olako
255,Ciudad Bolivar,VE,92.57,clear sky,8.1222,-63.5497,Hotel Edi
256,Hobyo,SO,81.72,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
258,Cairns,AU,75.2,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
262,Galdar,ES,71.6,few clouds,28.147,-15.6502,Hostel Guide
267,George Town,MY,82.4,few clouds,5.4112,100.3354,Cititel Penang
269,Khandwa,IN,75.38,few clouds,21.8333,76.3333,Hotel kesar residency
271,Registro,BR,78.3,light rain,-24.4875,-47.8436,Régis Hotel
273,Placido De Castro,BR,77.94,overcast clouds,-10.3353,-67.1856,Hotel Carioca
274,Xuddur,SO,85.21,scattered clouds,4.1213,43.8894,Banjanay Hotel
278,Celestun,MX,76.44,clear sky,20.8667,-90.4,Posada Lilia
281,Pimentel,PE,82.4,clear sky,-6.8367,-79.9342,Casona Del Muelle
283,Urbano Santos,BR,83.7,light rain,-3.2078,-43.4036,Pousada Santa Dulce
285,Acarau,BR,85.28,broken clouds,-2.8856,-40.12,castelo pizzaria
290,Biltine,TD,94.01,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
295,Lampang,TH,88.0,clear sky,18.3333,99.5,Mrs Luis Guest House
298,Bac Lieu,VN,78.1,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
299,Sao Joao Da Barra,BR,87.8,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
306,Tacna,PE,75.2,few clouds,-18.0056,-70.2483,Hotel Colón Inn
307,Tambau,BR,86.0,scattered clouds,-21.705,-47.2744,Estalagem do Sobreira
311,Caravelas,BR,84.81,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
317,Wad Rawah,SD,90.75,scattered clouds,15.1603,33.1397,ود الترابي
318,Mbanza-Ngungu,CD,73.22,scattered clouds,-5.25,14.8667,Hotel Full Business
324,Santo Cristo,PH,77.0,broken clouds,15.2907,120.8842,Crave & clouds vape shop
326,Vila Velha,BR,87.01,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
327,Miri,MY,78.8,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
329,Honiara,SB,77.59,broken clouds,-9.4333,159.95,Heritage Park Hotel
333,Buri,BR,78.71,broken clouds,-23.7975,-48.5928,Hotel Aro
334,Sao Filipe,CV,74.25,clear sky,14.8961,-24.4956,Tortuga B&B
335,Carutapera,BR,82.13,broken clouds,-1.195,-46.02,Lidera
336,Minab,IR,77.0,few clouds,27.1467,57.0801,Bam campground
344,San Carlos De Bariloche,AR,70.0,few clouds,-41.1456,-71.3082,Hotel Patagonia
345,Santa Rosa,PH,82.99,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
346,Altamira,BR,84.2,broken clouds,-3.2033,-52.2064,Requinte Hotel
347,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
349,Padang,ID,77.0,light rain,-0.9492,100.3543,Mercure Padang
350,Loa Janan,ID,75.16,broken clouds,-0.583,117.095,Pondok hijau 2A
351,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
352,Tarakan,ID,81.28,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
356,San Jose De Rio Tinto,HN,84.2,broken clouds,14.9333,-85.7,PARQUE ECOTURISTICO QUILIZ
357,Waingapu,ID,78.87,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
358,Codajas,BR,86.72,broken clouds,-3.8367,-62.0569,Hotel Tamires
360,Itabirito,BR,84.2,broken clouds,-20.2533,-43.8014,Aredes Apart Hotel
371,Oistins,BB,84.2,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
374,Xalpatlahuac,MX,75.69,clear sky,17.4667,-98.6167,Hotel Villarreal
375,Lodwar,KE,91.56,broken clouds,3.1191,35.5973,Turkwel Lodge
378,Lima,PE,78.8,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
385,Namatanai,PG,79.86,clear sky,-3.6667,152.4333,Namatanai Hotel
389,Moron,AR,73.99,scattered clouds,-34.6534,-58.6198,Hotel Morón
390,Rawson,AR,79.57,clear sky,-43.3002,-65.1023,Hosteria Sampedro
391,Yangjiang,CN,72.3,clear sky,21.85,111.9667,HUALUXE Yangjiang City Center
392,Cam Ranh,VN,78.8,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
395,Bahia Blanca,AR,77.27,clear sky,-38.7196,-62.2724,Hotel Argos
396,Guarapari,BR,87.01,few clouds,-20.6667,-40.4975,Hotel Porto do Sol
