City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tefe,BR,-3.3542,-64.7114,86.0,84,75,8.05,broken clouds
1,Faanui,PF,-16.4833,-151.75,81.99,67,27,4.81,scattered clouds
2,Georgetown,MY,5.4112,100.3354,82.4,57,20,3.44,few clouds
3,Mataura,NZ,-46.1927,168.8643,54.0,84,93,4.0,overcast clouds
4,Vaini,TO,-21.2,-175.2,75.2,94,20,2.3,light rain
5,Khatanga,RU,71.9667,102.5,-31.81,98,100,3.98,overcast clouds
6,Cayenne,GF,4.9333,-52.3333,87.8,55,40,12.66,scattered clouds
7,Rikitea,PF,-23.1203,-134.9692,80.33,76,100,12.71,moderate rain
8,Bredasdorp,ZA,-34.5322,20.0403,68.0,60,100,8.05,overcast clouds
9,Provideniya,RU,64.3833,-173.3,-11.27,96,36,13.51,scattered clouds
10,Flinders,AU,-34.5833,150.8552,69.01,88,100,4.0,light rain
11,Carnarvon,AU,-24.8667,113.6333,78.8,69,0,10.36,clear sky
12,Bluff,NZ,-46.6,168.3333,54.0,83,100,4.0,overcast clouds
13,Olafsvik,IS,64.8945,-23.7142,38.75,95,100,20.33,overcast clouds
14,Upernavik,GL,72.7868,-56.1549,8.22,85,100,2.21,overcast clouds
15,Kununurra,AU,-15.7667,128.7333,75.2,100,100,6.91,moderate rain
16,Shache,CN,38.4167,77.2406,44.33,33,59,2.44,broken clouds
17,Ishinomaki,JP,38.4167,141.3,40.15,79,25,6.44,scattered clouds
18,Qaanaaq,GL,77.484,-69.3632,-6.59,74,100,2.89,overcast clouds
19,Saldanha,ZA,-33.0117,17.9442,69.8,56,34,18.41,scattered clouds
20,Cape Town,ZA,-33.9258,18.4232,68.0,60,20,19.57,few clouds
21,Busselton,AU,-33.65,115.3333,70.66,55,89,6.91,overcast clouds
22,Hobart,AU,-42.8794,147.3294,55.99,87,75,5.75,broken clouds
