City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qaanaaq,GL,2021-01-30 21:06:55,77.484,-69.3632,-4.49,73,100,1.5
1,Nouadhibou,MR,2021-01-30 21:06:56,20.931,-17.0347,75.2,46,58,13.8
2,Portland,US,2021-01-30 21:06:15,45.5234,-122.6762,50.0,81,75,12.66
3,Viedma,AR,2021-01-30 21:06:56,-40.8135,-62.9967,72.0,40,57,16.33
4,Margate,GB,2021-01-30 21:06:56,51.3813,1.3862,39.99,80,99,8.01
5,Santa Helena De Goias,BR,2021-01-30 21:06:56,-17.8136,-50.5969,84.74,63,21,3.04
6,Hobart,AU,2021-01-30 21:06:20,-42.8794,147.3294,60.01,67,20,11.5
7,Aguimes,ES,2021-01-30 21:05:02,27.9054,-15.4461,64.4,72,20,19.57
8,Avarua,CK,2021-01-30 21:06:54,-21.2078,-159.775,82.4,74,100,4.61
9,Lerwick,GB,2021-01-30 21:06:57,60.1545,-1.1494,37.4,75,75,12.66
10,New Norfolk,AU,2021-01-30 21:06:57,-42.7826,147.0587,60.01,72,10,1.01
11,Mehamn,NO,2021-01-30 21:03:08,71.0357,27.8492,25.25,96,100,22.03
12,Rikitea,PF,2021-01-30 21:06:58,-23.1203,-134.9692,78.78,76,2,13.06
13,Hilo,US,2021-01-30 21:05:15,19.7297,-155.09,78.8,61,20,5.75
14,Vardo,NO,2021-01-30 21:03:08,70.3705,31.1107,24.96,96,100,21.32
15,Marawi,PH,2021-01-30 21:06:58,7.9986,124.2928,75.0,89,97,5.99
16,Weatherford,US,2021-01-30 21:02:06,32.7593,-97.7972,72.0,18,0,7.0
17,Pochutla,MX,2021-01-30 21:06:58,15.7432,-96.4661,88.0,51,40,11.5
18,Ponta Do Sol,PT,2021-01-30 21:06:59,32.6667,-17.1,61.0,76,57,1.01
19,Cherskiy,RU,2021-01-30 21:06:19,68.75,161.3,-37.21,83,6,2.21
20,Sao Joao Da Barra,BR,2021-01-30 21:06:59,-21.6403,-41.0511,82.4,54,0,25.32
21,Esperance,AU,2021-01-30 21:06:59,-33.8667,121.9,57.2,88,0,10.36
22,Albany,US,2021-01-30 21:02:11,42.6001,-73.9662,21.0,48,12,1.01
23,Ribeira Grande,PT,2021-01-30 21:06:59,38.5167,-28.7,64.4,88,40,18.41
24,Hearst,CA,2021-01-30 21:06:59,49.6835,-83.6665,6.8,72,46,2.3
25,Hermanus,ZA,2021-01-30 21:07:00,-34.4187,19.2345,66.99,85,2,1.01
26,Rock Springs,US,2021-01-30 21:03:39,41.5875,-109.2029,32.0,55,75,26.46
27,Zhuhai,CN,2021-01-30 21:05:10,22.2769,113.5678,64.99,67,0,8.05
28,Mataura,NZ,2021-01-30 21:07:00,-46.1927,168.8643,58.39,62,83,1.61
29,Hami,CN,2021-01-30 21:07:00,42.8,93.45,20.86,83,0,1.66
30,Hamilton,US,2021-01-30 21:07:00,39.1834,-84.5333,36.0,58,100,9.28
31,Bluff,NZ,2021-01-30 21:06:36,-46.6,168.3333,53.01,81,99,5.88
32,Novosokolniki,RU,2021-01-30 21:07:01,56.3463,30.1578,24.06,97,96,9.46
33,Nikolskoye,RU,2021-01-30 21:06:27,59.7035,30.7861,28.4,93,75,6.71
34,Port Augusta,AU,2021-01-30 21:07:01,-32.5,137.7667,64.4,72,100,12.66
35,Mahebourg,MU,2021-01-30 21:05:47,-20.4081,57.7,78.8,89,75,8.05
36,Ushuaia,AR,2021-01-30 21:07:01,-54.8,-68.3,53.6,54,20,24.16
37,Namibe,AO,2021-01-30 21:06:30,-15.1961,12.1522,73.58,77,61,9.46
38,Cape Town,ZA,2021-01-30 21:03:36,-33.9258,18.4232,71.01,68,0,6.91
39,Dikson,RU,2021-01-30 21:06:18,73.5069,80.5464,-35.37,81,0,8.14
40,Pundaguitan,PH,2021-01-30 21:07:02,6.3711,126.1689,79.77,75,100,15.52
41,Alyangula,AU,2021-01-30 21:07:02,-13.8483,136.4192,82.4,89,40,4.61
42,Ahipara,NZ,2021-01-30 21:07:03,-35.1667,173.1667,66.51,56,0,6.87
43,Buckeye,US,2021-01-30 21:03:38,33.3703,-112.5838,62.01,51,1,6.91
44,Saldanha,ZA,2021-01-30 21:07:02,-33.0117,17.9442,64.78,91,0,7.29
45,Castro,BR,2021-01-30 21:07:03,-24.7911,-50.0119,67.14,96,99,4.23
46,Butaritari,KI,2021-01-30 21:06:23,3.0707,172.7902,81.12,77,100,16.96
47,Maceio,BR,2021-01-30 21:07:03,-9.6658,-35.7353,78.8,89,75,4.61
48,East London,ZA,2021-01-30 21:07:03,-33.0153,27.9116,70.57,79,6,2.57
49,Kati,ML,2021-01-30 21:07:04,12.7441,-8.0726,80.6,16,0,6.91
50,Mar Del Plata,AR,2021-01-30 21:07:04,-38.0023,-57.5575,62.6,63,90,17.27
51,Kapaa,US,2021-01-30 21:07:04,22.0752,-159.319,75.2,78,20,18.41
52,Oskemen,KZ,2021-01-30 21:07:04,49.9565,82.6119,-5.8,84,20,4.47
53,Yulara,AU,2021-01-30 21:04:04,-25.2406,130.9889,84.2,34,40,13.8
54,Joao Pinheiro,BR,2021-01-30 21:07:04,-17.7425,-46.1725,79.74,63,86,2.37
55,Grand Gaube,MU,2021-01-30 21:06:27,-20.0064,57.6608,78.01,84,0,1.99
56,Saint-Louis,SN,2021-01-30 21:07:05,16.3333,-15.0,80.02,13,100,10.38
